checklist,section,item,critical,guidance
procurement,Prequalification,"Contractor registered in country with a current drilling licence",yes,
procurement,Prequalification,"Contractor has completed at least 5 similar projects in the last 3 years, with referees contacted",no,
procurement,Prequalification,"Contractor owns or has secured the rig, compressor and support equipment the job needs, and key staff CVs are on file",no,
procurement,Prequalification,"Contractor financial capacity and litigation history reviewed",no,
procurement,Contract,"Contract uses a bill of quantities and payment is for actual verified quantities, not an estimated lump sum",yes,"Lump sum payment hides real costs; BoQ payment keeps the price honest."
procurement,Contract,"Dry hole and low yield payment policy clearly defined, with 'dry' defined by a yield threshold",yes,"Refusing to pay for dry holes pushes the contractor to inflate successful holes or cut corners."
procurement,Contract,"Bill of quantities checked for front loading (mobilisation and siting items priced far above their share of the works)",no,"In a documented fraud case mobilisation and geophysics carried 53 percent of the contract value."
procurement,Contract,"Performance bond of 5 to 10 percent of the contract value in place before signature",no,
procurement,Supervision,"Independent supervision arranged and paid for, with the supervisor's transport independent of the driller",yes,"A supervisor who depends on the driller for transport or pay is not independent."
pre_contract,Equipment,"Drilling rig inspected: mast raised and rig run for an hour without problems (record year of manufacture, manufacturer and lifting capacity)",yes,"Check for oil leaks and have them fixed before giving approval."
pre_contract,Equipment,"Compressor run for an hour without problems (record year and manufacturer)",yes,
pre_contract,Equipment,"Mud pump and generator ratings checked against the estimated borehole depths and tested",no,
pre_contract,Equipment,"Water tanker checked for leaks",no,
pre_contract,Equipment,"Support trucks available and in working order",no,
pre_contract,Equipment,"Drill pipes adequate to reach the deepest planned borehole",yes,
pre_contract,Equipment,"Drill bits and hammer of the correct diameter and right type for the expected ground, in good condition",yes,
pre_contract,Equipment,"Geophysical survey equipment working and the personnel competent in its use",no,
pre_contract,Personnel,"Drilling manager and hydrogeologist qualifications and experience recorded and adequate",no,
pre_contract,Personnel,"Rig operator, driver, mechanic and rig assistants experienced (record years of experience)",no,
pre_contract,Personnel,"Record Taker designated by the driller to remain on site at all times and complete all forms",yes,"The Record Taker role should be specified in the contract documents."
siting,Water users,"Site convenient to the point of use with equitable access for all water users, especially women and the most disadvantaged",no,
siting,Water users,"Land ownership and access rights for users and maintenance teams established and confirmed in writing",yes,
siting,Hydrogeology,"Expected yield, renewable resources and water quality sufficient for the intended purpose",no,
siting,Hydrogeology,"Interference with other groundwater sources and natural groundwater flows avoided",no,
siting,Hydrogeology,"Chance of success rated (high, medium or low) and accepted by the client",no,
siting,Contamination,"No potential pollution source within the minimum separation distances (see the separation distance table)",yes,"Pit latrines, burial grounds, refuse dumps, fuel depots, animal pens; where the aquifer is confined the distances can be relaxed."
siting,Logistics,"Access allowed and physically possible for the drilling team, equipment and vehicles",no,
siting,Logistics,"Siting report submitted by the driller and approved by the supervisor",yes,
mobilisation,Contract,"Contract signed and the pre-mobilisation meeting held with design, materials and procedures discussed",yes,
mobilisation,Contract,"Programme of works submitted and approved",no,
mobilisation,Community,"Community briefed: process explained, roles and contributions agreed, contact persons exchanged, driller's representative introduced",no,
mobilisation,Equipment,"Equipment on site matches what was inspected and is in working condition (drill rods adequate, hammer, bit and temporary casing diameters measured)",yes,
mobilisation,Materials,"Material samples approved against the specification: drilling fluid, casing and screen (length, diameter and wall thickness measured), filter pack and gravel",yes,"Nominal 3 m casing lengths are often actually 2.95 m; measure mid pipe, not at the threaded end."
mobilisation,Records,"Data collection forms agreed (RWSN Code of Practice Annex E formats)",no,
mobilisation,Records,"Project filing system set up: a duplicate hard copy file per site with the checklists printed inside the folder flap",no,
mobilisation,Camp,"Drill camp layout approved: inflammables away from heat, contaminants away from water and cooking areas, PVC casing and screens shaded from direct sunlight",no,
drilling,Safety,"Health and safety in place: rig away from traffic and power lines, not on a steep slope, public barrier tape up, crew wearing PPE, inflammables stored in marked containers, mast never raised in a thunderstorm, first aid kit and emergency procedure ready",yes,
drilling,Set up,"Rig positioned exactly over the pegged site, mast vertical (checked with a spirit level) and the ground stable",no,"A dry hole must not be attributable to drilling off location."
drilling,Records,"Depth measured with marked drill pipes and logged every metre",yes,"Chalk marks at 1 m intervals numbered from zero; re-mark all pipes if the hammer is changed."
drilling,Records,"Penetration rate recorded every metre",no,
drilling,Fluids,"Drilling fluid type recorded and viscosity checked with a Marsh funnel; biodegradable polymer used instead of bentonite where required",no,
drilling,Fluids,"Circulation pits hold at least three times the borehole volume and are kept clean (mud drilling)",no,
drilling,Samples,"Cutting samples taken at the agreed interval (1 m default), washed as appropriate, bagged, labelled, photographed and stored in a sample box",yes,"Do not wash soft rocks such as clays; reduce the interval to 0.5 m where the lithology changes rapidly."
drilling,Samples,"Strata log prepared from the samples",no,
drilling,Water,"Water strikes recorded (depth and time) and airlift yield measured with a V plate or a timed bucket",no,"A handpump needs about 0.3 litres per second."
drilling,Decision,"Final drilling depth instructed by the supervisor, not decided by the driller",yes,"For a handpump well with good yield: at least 5 m into the aquifer plus a 3 to 6 m sump below the screen."
drilling,Records,"Daily drilling log signed by the rig operator and the supervisor at the end of every day",yes,
design,Preparation,"Casing and screen assemblage sketched, laid out on the ground, measured piece by piece, totalled against the sketch and photographed before installation",yes,
design,Materials,"Casing and screens new and to specification, with diameter and wall thickness checked with callipers mid pipe",no,
design,Installation,"Joints clean and watertight; solvent cement setting time observed before lowering",no,
design,Installation,"Installed casing and screen depth reconciled with the drilled depth; any discrepancy over 3 m resolved by removing, cleaning and reinstalling",yes,
